optimization_strat,model,accuracy,dpd,model_parameter_string
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5221674876847291,0.0,"{'layers': 4, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.522615315718764,0.0007867820677347481,"{'layers': 4, 'units': 32, 'learning_rate': 1e-05, 'batch_size': 256, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.5776981639050605,0.017460741102695465,"{'layers': 1, 'units': 123, 'learning_rate': 2.2095257881863932e-05, 'batch_size': 85, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.6144200626959248,0.019524693489074707,"{'layers': 1, 'units': 41, 'learning_rate': 8.532782217170788e-05, 'batch_size': 109, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.7536945812807881,0.03821718692779541,"{'layers': 1, 'units': 128, 'learning_rate': 0.1, 'batch_size': 256, 'optimizer': 'RMSprop', 'activation': 'Tanh', 'dropout': 2}"
Botorch,NN,0.7908643081056874,0.049270063638687134,"{'layers': 1, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'RMSprop', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.8034034930586654,0.07089796662330627,"{'layers': 1, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'ReLU', 'dropout': 0}"
Botorch,NN,0.8083296014330497,0.10155057907104492,"{'layers': 1, 'units': 32, 'learning_rate': 0.1, 'batch_size': 16, 'optimizer': 'SGD', 'activation': 'Tanh', 'dropout': 2}"
